Store Type,# Store Nodes,# Concurrent Requests,Record Size (bytes),Num Records Generated,Write Records/s,Sigma Write Records/s,Write MB/s,Sigma Write MB/s,Read Records/s,Sigma Read Records/s,Reads MB/s,Sigma Reads MB/s
ETCD,3,25,2048,512,438.358,1.559,0.856,0.003,13107.548,182.517,25.601,0.003
ETCD,3,25,4096,512,402.735,2.065,1.573,0.008,6904.050,99.367,26.969,0.008
ETCD,3,30,128,512,535.350,1.406,0.065,0.000,85863.944,13213.281,10.481,0.000
ETCD,3,30,256,512,531.194,1.206,0.130,0.000,68998.052,426.651,16.845,0.000
ETCD,3,30,512,512,527.343,1.908,0.257,0.001,42366.128,3158.298,20.687,0.001
ETCD,3,30,1024,512,519.286,1.396,0.507,0.001,24867.945,1060.817,24.285,0.001
ETCD,3,30,2048,512,506.612,1.048,0.989,0.002,13219.282,151.037,25.819,0.002
ETCD,3,30,4096,512,457.931,2.214,1.789,0.009,6931.535,61.684,27.076,0.009
ETCD,5,1,128,512,19.516,0.016,0.002,0.000,95404.076,335.000,11.646,0.000
ETCD,5,1,256,512,19.510,0.028,0.005,0.000,54354.193,7441.825,13.270,0.000
ETCD,5,1,512,512,19.506,0.021,0.010,0.000,40243.177,2789.183,19.650,0.000
ETCD,5,1,1024,512,19.473,0.008,0.019,0.000,23149.235,788.407,22.607,0.000
ETCD,5,1,2048,512,19.528,0.169,0.038,0.000,13203.861,230.476,25.789,0.000
ETCD,5,1,4096,512,19.311,0.011,0.075,0.000,6895.571,135.760,26.936,0.000
ETCD,5,5,128,512,96.084,0.069,0.012,0.000,88383.358,6920.172,10.789,0.000
ETCD,5,5,256,512,96.055,0.058,0.023,0.000,51498.254,9686.374,12.573,0.000
ETCD,5,5,512,512,95.688,0.051,0.047,0.000,40339.473,4387.747,19.697,0.000
ETCD,5,5,1024,512,95.360,0.074,0.093,0.000,22634.995,154.947,22.104,0.000
ETCD,5,5,2048,512,97.480,5.045,0.190,0.010,13043.120,431.375,25.475,0.010
ETCD,5,5,4096,512,93.292,0.107,0.364,0.000,6811.052,77.568,26.606,0.000
ETCD,5,10,128,512,189.338,0.287,0.023,0.000,88433.564,5710.791,10.795,0.000
ETCD,5,10,256,512,188.804,0.248,0.046,0.000,48272.637,11248.234,11.785,0.000
ETCD,5,10,512,512,188.087,0.393,0.092,0.000,41970.315,3035.409,20.493,0.000
ETCD,5,10,1024,512,187.897,0.210,0.183,0.000,23366.449,598.146,22.819,0.000
ETCD,5,10,2048,512,185.330,0.231,0.362,0.000,13198.861,232.692,25.779,0.000
ETCD,5,10,4096,512,180.839,4.142,0.706,0.016,6863.059,114.061,26.809,0.016
ETCD,5,15,128,512,280.010,0.609,0.034,0.000,95319.518,1970.572,11.636,0.000
ETCD,5,15,256,512,287.977,17.367,0.070,0.004,65070.355,3881.465,15.886,0.004
ETCD,5,15,512,512,283.821,6.724,0.139,0.003,37472.122,5148.709,18.297,0.003
ETCD,5,15,1024,512,276.632,0.373,0.270,0.000,23222.710,865.730,22.678,0.000
ETCD,5,15,2048,512,266.683,3.625,0.521,0.007,12911.998,209.561,25.219,0.007
ETCD,5,15,4096,512,257.858,2.925,1.007,0.011,6863.697,66.248,26.811,0.011
ETCD,5,20,128,512,375.706,1.243,0.046,0.000,91042.447,8461.662,11.114,0.000
ETCD,5,20,256,512,374.705,0.780,0.091,0.000,69211.294,757.930,16.897,0.000
ETCD,5,20,512,512,376.212,6.096,0.184,0.003,42691.739,3483.062,20.846,0.003
ETCD,5,20,1024,512,367.749,1.095,0.359,0.001,23252.565,1549.477,22.708,0.001
ETCD,5,20,2048,512,358.617,0.464,0.700,0.001,13010.387,164.403,25.411,0.001
ETCD,5,20,4096,512,334.054,0.639,1.305,0.002,6958.979,49.177,27.184,0.002
